,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_AdaBoost
4430,0,3,0,4,3,0,3,3,3,4,3,3,0,1
4435,0,3,0,3,4,1,4,4,3,3,3,2,1,0
4445,1,1,0,5,4,0,5,5,4,4,5,1,0,1
4505,0,1,0,4,1,0,1,1,3,1,1,1,0,1
4530,0,4,1,4,2,1,5,5,5,5,5,4,0,1
4531,0,1,0,4,3,0,1,1,4,2,1,1,0,1
4546,0,4,1,4,5,0,5,5,5,5,5,2,0,1
4563,0,3,0,4,4,0,2,3,4,3,2,2,0,1
4564,0,4,1,4,5,1,5,4,5,5,3,3,1,0
4585,0,2,0,2,4,1,5,3,2,2,3,2,1,0
4586,1,4,0,4,5,1,5,5,3,3,4,5,0,1
4594,1,4,0,4,3,2,4,4,3,3,4,4,1,0
4600,0,4,1,4,3,1,2,3,2,2,1,5,1,0
4619,0,4,0,4,3,0,4,4,3,3,4,4,0,1
4620,1,4,0,4,5,1,4,5,3,3,1,4,1,0
4624,0,4,1,4,3,1,5,4,2,2,4,2,1,0
4631,0,4,0,4,4,0,4,3,4,4,1,4,0,1
4632,0,4,0,3,1,0,4,4,4,2,4,4,0,1
4666,0,4,1,5,3,1,3,3,1,1,1,3,1,0
4682,0,4,0,3,4,0,4,4,4,3,4,4,0,1
4689,0,4,0,1,2,0,4,4,2,1,4,4,0,1
4711,0,2,0,2,2,2,4,1,2,2,4,4,1,0
4734,1,5,0,3,2,1,5,5,4,3,5,5,1,0
4760,0,4,0,3,5,2,4,4,1,3,4,4,1,0
4773,0,4,1,5,2,1,4,3,3,3,4,2,0,1
4804,1,4,0,0,3,2,4,4,2,1,2,1,1,0
4812,0,4,1,4,4,0,5,5,1,1,3,5,0,1
4835,1,4,0,4,1,1,5,5,4,4,5,4,0,1
4837,0,1,0,3,3,0,5,4,3,3,1,5,1,0
4859,0,4,0,4,4,1,1,1,4,4,3,2,1,0
4872,0,4,1,1,1,0,5,4,1,1,4,5,1,0
4884,0,4,0,4,1,1,2,2,4,4,2,1,1,0
4898,0,4,1,5,3,1,4,3,1,1,3,5,0,1
4900,0,2,0,2,1,0,4,4,1,4,4,4,1,0
4919,1,4,0,4,3,1,5,4,2,2,3,2,1,0
4926,0,4,0,4,3,0,4,4,4,1,4,4,0,1
4935,1,4,0,5,5,1,5,4,5,5,4,5,0,1
4937,0,2,0,3,3,0,3,3,4,3,3,3,1,0
4962,0,4,0,2,3,1,4,4,5,3,4,4,1,0
4976,1,4,0,3,2,1,2,2,3,1,2,4,1,0
4977,1,4,0,5,4,1,4,4,2,2,5,5,0,1
4979,0,4,0,4,4,1,4,3,4,4,1,5,0,1
4983,0,2,0,4,1,0,2,2,3,2,2,2,0,1
4989,0,4,0,4,1,0,2,1,4,4,2,3,0,1
4996,0,4,1,4,1,1,1,4,5,5,3,4,1,0
5013,0,3,0,3,3,2,2,2,3,3,2,3,1,0
5029,0,3,0,3,3,1,2,5,3,3,1,5,1,0
5036,0,2,0,1,1,0,4,4,2,1,4,4,1,0
5042,0,4,1,4,3,1,4,3,1,1,3,4,1,0
5059,0,1,0,4,1,0,2,1,3,1,2,3,0,1
5069,0,4,0,4,3,0,3,4,4,4,2,4,0,1
5076,0,4,1,4,5,1,5,4,1,2,4,2,1,0
5101,0,4,1,4,3,0,5,4,1,1,4,3,0,1
5128,0,3,0,4,2,0,2,3,4,1,2,2,0,1
5149,0,4,0,4,3,1,2,2,4,4,4,1,0,1
5159,0,4,0,4,3,1,3,3,1,4,3,4,0,1
5166,0,4,0,4,3,0,4,4,4,2,4,4,0,1
5179,0,3,0,4,1,0,3,3,4,3,3,3,0,1
5197,0,4,0,2,1,1,4,4,2,1,4,4,1,0
5206,0,1,0,1,1,0,4,4,4,1,4,4,1,0
5228,0,4,1,4,2,1,1,4,5,5,1,2,1,0
5229,0,3,0,2,2,0,4,4,2,2,2,4,1,0
5256,0,4,0,3,3,0,4,4,4,2,4,4,0,1
5262,0,4,1,4,4,0,4,4,4,4,3,2,1,0
5263,0,2,0,4,4,0,2,2,4,4,2,2,0,1
5265,0,2,0,2,5,0,4,4,2,2,5,3,1,0
5282,0,2,0,2,5,1,4,4,2,2,5,4,1,0
5306,1,5,0,0,3,2,3,3,1,1,4,5,1,0
5314,0,3,0,4,4,0,3,3,3,3,3,3,0,1
5318,1,5,0,0,3,1,2,2,1,1,1,3,1,0
5328,0,1,0,3,5,0,3,3,4,3,3,4,1,0
5335,0,4,0,4,3,0,4,4,4,2,4,4,0,1
5362,0,3,0,3,3,1,4,3,3,3,1,1,1,0
5378,0,4,1,4,3,1,1,4,4,4,4,2,1,0
5387,0,4,0,4,1,2,4,4,5,5,2,2,0,1
5402,0,4,0,4,3,1,1,2,4,4,2,1,1,0
5407,0,4,0,2,3,0,3,4,2,2,2,2,1,0
5415,0,4,0,4,2,1,4,4,3,2,4,4,0,1
5439,0,2,0,2,4,1,1,2,2,2,2,5,1,0
5470,0,1,0,4,3,0,1,1,3,2,1,1,0,1
5490,0,4,0,4,1,0,4,4,3,1,4,4,0,1
5494,0,4,0,3,3,0,1,1,5,3,1,2,1,0
5502,0,4,1,4,3,1,2,1,5,5,1,5,1,0
5508,0,2,0,4,1,0,2,2,3,2,2,2,0,1
5511,0,4,0,4,4,0,2,4,4,4,2,3,0,1
5532,0,3,0,3,5,1,4,2,3,3,2,5,1,0
5540,0,4,0,4,4,1,4,1,4,4,5,1,0,1
5578,1,4,0,4,5,1,4,4,2,2,4,4,1,0
5581,0,1,0,3,3,0,4,4,4,5,4,4,1,0
5590,1,2,0,5,5,0,5,5,5,4,5,2,0,1
5599,0,1,0,3,5,0,3,3,5,4,3,4,1,0
5600,0,4,0,3,2,1,4,4,3,2,4,4,1,0
5605,0,4,0,4,4,0,4,4,4,2,4,4,0,1
5608,0,4,0,4,2,0,4,3,4,4,1,3,0,1
5610,0,4,0,4,1,1,4,2,4,4,3,2,1,0
5616,0,1,0,4,2,0,3,4,1,4,3,4,0,1
5621,0,1,0,4,1,0,3,1,4,2,3,3,0,1
5642,0,4,0,3,3,0,4,4,4,1,4,4,0,1
5644,0,4,1,4,4,2,3,3,2,2,1,1,1,0
5647,0,3,0,4,3,0,3,3,3,1,3,3,0,1
5666,0,1,0,4,4,0,2,1,4,2,2,2,0,1
5671,0,4,1,4,2,1,3,2,4,4,2,1,1,0
5676,0,4,0,2,1,0,4,4,3,1,4,4,0,1
5695,0,4,0,4,3,0,4,4,4,4,4,4,0,1
5720,0,3,0,2,5,0,3,3,4,2,3,4,1,0
5735,0,4,1,4,3,1,3,3,2,2,5,4,0,1
5742,0,4,1,4,3,0,3,4,5,5,1,5,0,1
5751,0,3,0,2,3,0,4,4,1,4,4,4,1,0
5758,0,1,0,4,4,0,1,1,3,1,1,1,0,1
5776,0,4,0,4,2,1,4,4,4,1,4,4,0,1
5783,0,2,0,4,1,0,2,2,4,2,2,2,0,1
5786,0,1,0,3,5,0,4,5,3,3,4,2,1,0
5790,0,4,0,2,2,0,4,4,2,2,4,4,0,1
5796,0,4,1,4,1,1,4,1,4,4,5,3,1,0
5808,0,4,0,3,4,0,4,4,4,4,4,4,0,1
5813,0,4,1,4,3,1,5,1,5,2,3,3,1,0
5818,0,2,0,4,4,0,2,2,4,2,2,2,0,1
5829,0,3,0,4,4,0,3,3,3,4,3,3,0,1
5832,0,4,1,4,3,1,3,1,1,1,1,4,1,0
5842,1,0,0,0,4,1,4,2,2,2,2,2,1,0
5879,0,3,0,4,2,0,3,3,3,2,3,3,0,1
5904,0,4,0,4,1,1,4,4,4,2,4,4,0,1
5911,0,1,0,2,2,0,4,4,2,2,4,4,1,0
5918,1,4,0,4,5,1,4,4,5,5,4,4,1,0
5939,0,4,0,4,1,1,4,4,3,2,4,4,0,1
5951,0,2,0,4,4,0,4,2,3,4,4,4,0,1
5962,1,4,0,4,3,1,5,4,5,3,5,5,1,0
5968,0,2,0,3,4,0,3,3,4,4,3,3,1,0
5973,0,4,0,4,4,1,3,1,4,4,1,3,1,0
5976,0,4,1,4,2,1,5,5,3,3,5,4,0,1
5984,0,4,0,4,2,1,2,3,4,4,1,1,1,0
5995,0,4,1,4,5,0,4,5,5,5,5,2,0,1
6002,1,4,0,4,5,1,5,4,2,5,5,5,0,1
6026,0,5,0,4,3,1,4,4,5,5,3,4,0,1
6027,0,3,1,5,4,1,2,3,4,4,5,4,0,1
6031,0,2,0,4,3,0,3,2,3,3,3,3,0,1
6035,0,4,0,2,2,0,4,4,3,4,4,4,0,1
6056,0,4,0,4,3,0,3,4,4,4,3,2,0,1
6066,1,4,0,4,4,1,4,5,1,1,5,3,1,0
6070,0,4,0,4,2,0,2,4,4,1,2,2,0,1
6099,0,1,0,3,3,0,2,2,3,1,2,2,1,0
6109,0,2,0,4,2,0,2,2,3,2,2,2,0,1
6111,0,4,0,4,3,0,4,3,4,4,1,5,0,1
6120,0,2,0,1,2,0,4,4,1,1,4,4,1,0
6162,0,3,0,4,3,0,2,3,3,2,2,1,0,1
6173,1,2,0,5,5,0,5,4,5,5,3,5,0,1
6190,0,4,1,4,3,0,5,4,3,1,3,5,0,1
6209,0,4,0,4,2,0,3,3,4,4,4,4,0,1
6225,0,4,0,2,2,0,2,1,2,2,3,1,1,0
6230,1,4,0,4,5,1,4,4,2,2,4,5,1,0
6231,0,4,1,4,1,0,3,3,4,4,4,5,0,1
6239,1,4,0,5,1,1,4,2,4,1,4,4,0,1
6244,1,0,0,0,5,1,4,4,5,5,3,3,1,0
6245,1,4,0,4,5,1,5,5,1,1,5,4,0,1
6256,0,3,0,3,1,2,3,3,1,5,3,3,1,0
6264,1,4,0,4,3,1,5,5,4,4,5,4,0,1
6266,1,4,0,4,3,1,4,4,3,3,3,3,1,0
6302,1,0,0,0,3,1,3,2,3,3,1,1,1,0
6316,0,4,1,4,4,1,5,4,3,3,2,4,1,0
6333,0,1,0,1,1,0,4,3,3,1,4,4,1,0
6334,0,2,0,2,4,0,4,4,1,1,4,4,1,0
6352,0,4,1,1,1,1,5,5,1,1,3,5,1,0
6365,1,4,0,5,5,1,5,5,5,5,4,4,0,1
6367,0,4,0,3,3,0,4,4,3,3,4,3,1,0
6375,0,4,1,4,4,0,5,4,1,1,4,5,0,1
6404,0,3,0,4,1,0,3,3,4,1,3,3,0,1
6406,0,4,0,4,4,1,1,3,4,4,5,4,0,1
6413,0,2,0,4,2,0,2,2,4,1,2,2,0,1
6424,0,2,0,4,1,0,2,2,4,2,2,2,0,1
6430,1,4,0,4,3,1,4,2,1,1,2,3,1,0
6434,0,2,0,4,3,0,2,2,3,3,2,2,0,1
6442,1,4,0,4,5,1,4,5,2,2,4,3,1,0
6466,0,3,0,4,1,0,3,3,4,1,3,3,0,1
6489,0,4,0,4,4,0,4,3,4,4,1,1,0,1
6490,0,4,0,2,4,0,4,4,3,3,4,4,0,1
6509,0,4,1,3,5,0,5,5,4,4,3,2,1,0
6512,1,4,0,4,2,1,4,2,4,4,3,5,1,0
6514,1,2,0,5,2,1,5,5,5,5,5,4,0,1
6524,0,3,0,3,5,1,2,2,3,3,4,5,1,0
6534,0,4,1,5,1,1,3,3,4,4,4,2,0,1
6540,1,4,0,5,4,1,4,4,4,4,4,3,1,0
6545,0,1,0,3,3,0,4,4,4,3,4,5,1,0
6546,0,2,1,2,5,0,4,5,1,1,5,4,1,0
6561,0,4,0,3,1,0,4,4,4,3,4,4,0,1
6575,0,5,0,1,4,0,5,5,1,3,5,4,0,1
6579,1,4,0,4,4,1,5,4,3,3,3,2,1,0
6584,0,3,0,4,1,0,4,4,3,3,4,5,0,1
6592,0,4,0,4,4,0,4,4,4,4,2,3,0,1
6609,0,4,1,4,4,0,4,3,4,4,4,5,0,1
6610,1,4,0,4,4,1,5,5,4,3,5,4,0,1
6635,0,2,0,4,1,0,2,2,4,1,2,2,0,1
6637,1,3,0,5,4,1,5,5,5,3,5,4,0,1
6644,0,4,0,4,4,1,4,3,4,4,3,4,0,1
6649,1,4,0,4,2,1,5,5,3,2,5,4,0,1
6678,0,4,1,5,5,1,1,2,5,5,4,2,0,1
6697,0,1,0,2,2,0,4,4,1,5,4,4,1,0
6701,0,4,1,5,4,0,4,4,3,3,2,2,0,1
6705,1,4,0,3,1,1,3,3,3,2,3,2,1,0
6719,0,3,0,4,4,0,2,3,3,2,2,2,0,1
6720,1,5,0,0,1,1,3,4,1,1,3,3,1,0
6732,0,4,0,4,4,1,4,1,4,4,1,1,1,0
6762,0,4,0,2,5,2,4,4,4,1,4,4,1,0
6772,0,4,0,4,3,1,2,1,4,4,3,2,1,0
6774,0,2,0,2,4,1,4,2,2,2,5,1,1,0
6779,0,4,0,4,3,0,4,4,4,4,4,4,0,1
6794,1,2,0,5,5,0,5,5,4,3,5,2,0,1
6796,0,4,0,4,1,0,2,2,4,4,3,5,0,1
6800,0,2,0,4,3,0,3,2,4,3,3,3,0,1
6811,0,4,1,4,5,0,4,5,5,5,3,5,0,1
6835,0,4,0,3,2,0,4,4,3,1,4,4,0,1
6838,0,1,0,4,2,0,3,3,3,3,3,0,0,1
6843,0,4,1,1,1,1,3,4,1,1,4,4,1,0
6852,0,4,0,4,3,1,2,1,4,4,3,2,1,0
6859,0,4,0,3,4,1,5,5,3,4,5,4,0,1
6896,0,3,0,4,3,0,3,3,4,1,3,3,0,1
6898,0,2,0,2,3,1,4,3,3,3,2,1,1,0
6920,0,1,0,2,4,0,3,5,4,2,3,4,1,0
6932,0,4,1,4,5,1,5,4,5,5,3,2,1,0
6935,0,3,1,4,4,0,5,5,1,1,5,3,0,1
6937,0,4,0,4,3,1,4,4,4,4,3,1,1,0
6941,1,4,0,4,5,0,5,5,5,4,5,4,0,1
6946,0,1,0,1,1,0,4,4,3,5,4,4,1,0
6974,0,2,0,4,4,0,2,2,3,4,2,2,0,1
6977,0,4,1,4,4,1,5,4,2,2,3,2,1,0
6978,1,5,0,0,2,1,3,3,3,3,3,4,1,0
6995,0,3,0,4,5,2,3,3,4,4,3,3,1,0
6999,0,4,1,4,4,0,5,4,3,3,3,2,1,0
7002,0,2,0,4,4,0,2,2,4,1,2,2,0,1
7005,0,4,0,2,5,0,3,3,1,5,3,3,1,0
7011,0,3,0,4,4,0,3,3,3,3,3,2,0,1
7014,0,4,0,3,1,1,4,2,4,4,5,2,1,0
7021,1,4,0,4,5,2,5,5,5,3,5,4,0,1
7027,1,4,0,4,3,1,4,5,2,2,5,2,1,0
7042,0,4,0,1,4,2,4,4,2,2,4,4,1,0
7051,0,1,0,4,3,0,1,1,3,2,1,1,0,1
7069,0,4,0,3,4,0,4,4,3,4,4,4,0,1
7075,0,4,0,3,5,1,4,4,2,3,4,4,1,0
7085,1,4,0,4,2,2,4,4,4,3,4,4,1,0
7115,0,4,1,4,4,1,4,5,1,1,2,1,1,0
7149,0,2,0,3,3,1,2,5,2,2,4,4,1,0
7163,1,4,0,4,5,1,4,4,4,4,3,2,1,0
7166,0,4,0,3,5,0,3,2,3,3,3,2,1,0
7167,0,4,0,1,5,1,4,4,1,3,4,4,1,0
7171,0,1,0,2,1,0,2,2,2,2,5,3,1,0
7176,0,4,0,4,2,0,4,4,4,3,4,4,0,1
7190,1,3,0,5,4,0,2,5,5,3,2,4,0,1
7204,0,4,0,4,3,1,4,4,5,5,3,2,0,1
7214,1,3,0,5,5,1,5,5,2,2,5,5,0,1
7224,1,4,0,4,2,1,1,4,3,3,2,1,1,0
7232,0,4,1,4,4,0,4,5,4,2,5,4,0,1
7237,0,2,0,3,1,0,5,5,3,3,1,4,1,0
7244,1,0,0,2,1,1,2,2,3,4,2,0,1,0
7250,0,4,0,4,4,0,3,3,4,4,1,5,0,1
7251,0,0,0,1,2,1,4,4,4,0,4,3,0,1
7269,0,4,0,2,2,0,4,4,3,2,4,4,0,1
7283,0,4,0,4,2,0,3,4,4,4,4,5,0,1
7292,0,4,0,4,4,0,3,3,4,4,1,1,0,1
7309,0,4,1,4,2,1,5,1,1,1,3,5,1,0
7310,1,4,0,5,4,2,5,4,5,5,4,5,0,1
7331,1,5,0,0,3,1,5,4,5,5,4,2,1,0
7343,0,3,0,3,4,0,3,4,3,3,2,5,1,0
7358,0,4,0,4,1,2,3,4,4,4,4,1,0,1
7362,0,5,1,2,3,0,4,4,1,1,3,2,1,0
7402,0,5,0,1,3,0,5,5,3,4,5,4,0,1
7406,0,3,0,4,1,0,3,3,4,2,3,4,0,1
7417,0,1,0,4,3,0,3,1,3,3,3,0,0,1
7436,0,2,0,2,4,1,3,4,2,2,5,5,1,0
7442,1,4,0,4,2,1,5,1,2,2,3,5,1,0
7443,1,4,0,4,1,1,4,3,4,4,3,5,1,0
7453,0,4,1,4,4,0,4,5,4,4,3,3,0,1
7456,0,4,1,4,5,1,2,4,4,4,3,3,1,0
7466,0,4,0,4,4,2,4,4,4,4,4,4,0,1
7472,0,4,0,4,1,0,3,4,4,1,3,3,0,1
7473,0,4,1,4,4,1,5,4,4,4,4,3,1,0
7482,0,2,0,2,5,1,5,3,2,2,3,4,1,0
7484,0,4,0,1,4,2,4,4,3,5,4,4,1,0
7499,0,4,0,4,2,0,3,3,4,4,4,3,0,1
7511,0,2,0,4,3,0,2,2,4,4,2,2,0,1
7513,0,4,0,4,3,0,4,4,3,3,4,4,0,1
7532,0,3,0,3,2,1,3,3,2,3,3,3,1,0
7542,0,5,0,4,3,1,3,4,2,5,3,2,0,1
7545,0,3,0,4,4,0,3,3,4,2,3,3,0,1
7547,0,4,0,4,3,0,2,3,3,3,3,3,0,1
7582,0,4,0,3,5,1,4,4,1,5,4,4,1,0
7601,0,3,1,3,4,0,4,4,5,5,3,5,1,0
7624,1,4,0,5,4,1,3,3,5,3,3,4,1,0
7638,1,1,0,5,5,1,5,5,3,3,5,5,0,1
7674,0,2,0,4,3,0,2,2,4,4,2,2,0,1
7686,0,3,1,5,5,1,3,3,5,5,2,4,0,1
7695,0,4,0,4,2,0,3,3,4,4,4,4,0,1
7701,0,1,0,3,4,0,5,5,3,3,4,2,1,0
7710,1,4,0,4,5,1,1,2,3,3,1,3,1,0
7724,1,5,0,4,4,1,2,2,4,3,2,2,1,0
7732,0,4,0,4,3,1,4,4,4,4,3,1,1,0
7739,1,4,0,3,5,1,5,4,3,3,3,2,1,0
7752,0,4,0,4,2,0,4,4,4,2,4,4,0,1
7753,0,2,0,4,1,0,2,2,3,1,2,2,0,1
7777,0,3,0,3,5,1,5,4,3,3,4,4,1,0
7782,0,4,1,4,3,0,4,4,2,5,5,3,0,1
7793,0,4,0,3,3,0,4,4,3,2,4,4,0,1
7794,1,4,1,4,3,1,4,3,4,4,3,4,1,0
7795,0,4,1,4,3,0,4,5,3,4,5,4,0,1
7800,1,4,0,3,4,1,3,3,3,3,3,5,1,0
7808,0,4,0,4,4,2,2,2,3,3,1,5,0,1
7810,0,4,1,4,5,0,4,5,3,3,4,3,0,1
7819,0,4,1,4,3,0,1,1,3,3,4,1,0,1
7820,0,3,0,3,2,1,2,4,3,3,3,1,1,0
7826,0,4,0,4,4,0,2,1,4,4,4,3,0,1
7828,1,4,0,4,3,1,4,5,2,2,4,2,1,0
7846,0,2,0,4,3,0,2,2,3,1,2,2,0,1
7873,0,4,0,3,4,0,4,4,4,2,4,4,0,1
7880,0,2,0,4,2,0,2,2,4,1,2,2,0,1
7884,1,4,0,4,4,1,5,4,1,1,5,2,1,0
7891,0,1,0,3,3,0,4,4,4,1,4,4,1,0
7897,0,1,0,3,4,0,3,3,5,3,3,4,1,0
7898,0,1,0,4,4,0,2,1,3,3,2,2,0,1
7932,0,3,0,4,3,0,3,3,4,2,3,3,0,1
7934,0,1,0,3,3,0,5,4,2,2,5,3,1,0
7935,0,2,0,4,4,0,4,2,4,1,4,3,0,1
7951,0,4,1,4,4,0,4,5,1,1,3,4,0,1
7954,0,2,0,4,4,0,2,2,4,3,2,2,0,1
7957,0,4,0,3,2,0,4,4,3,4,4,4,0,1
7965,1,4,0,5,5,1,4,5,5,5,5,4,0,1
7982,1,4,0,4,4,0,2,4,4,2,2,4,1,0
7988,0,4,1,4,4,1,4,4,2,2,4,3,1,0
7992,0,2,0,4,2,0,2,2,3,2,2,2,0,1
7995,0,1,0,4,4,0,1,1,3,2,1,1,0,1
7997,0,2,0,3,4,0,4,4,4,5,4,5,1,0
7999,0,4,1,4,5,1,3,1,3,3,1,2,1,0
8036,0,4,0,4,2,0,4,4,3,4,4,4,0,1
8052,0,4,0,4,1,1,4,2,4,4,3,3,1,0
8063,0,4,0,4,1,2,4,3,4,4,3,2,1,0
8070,1,4,0,4,4,1,5,4,4,4,4,3,1,0
8071,1,4,0,1,4,0,3,3,5,2,2,3,1,0
8085,0,2,0,3,5,2,5,2,2,2,5,5,1,0
8089,0,1,0,4,3,0,1,1,4,4,1,1,0,1
8095,0,4,1,4,5,1,5,5,3,3,3,4,0,1
8102,0,2,0,4,3,0,2,2,3,3,2,2,0,1
8109,0,4,1,5,2,1,4,4,5,5,2,5,0,1
8114,0,1,0,1,3,0,4,4,4,1,4,4,1,0
8116,0,4,0,3,1,0,4,4,3,4,4,4,0,1
8124,0,4,0,4,4,0,4,4,4,4,4,4,0,1
8125,0,4,1,4,4,1,4,4,5,5,4,4,0,1
8151,1,4,0,4,4,1,2,2,2,2,2,2,1,0
8154,0,4,1,4,4,1,4,4,1,1,5,3,1,0
8177,1,4,0,2,5,1,4,5,1,1,2,3,1,0
8179,0,4,0,4,4,0,4,4,3,1,4,4,0,1
8183,0,3,0,4,2,0,1,3,4,4,1,1,0,1
8196,0,2,0,4,3,0,2,2,4,4,2,2,0,1
8210,0,1,0,2,3,0,4,4,2,3,4,4,1,0
8211,0,3,0,4,4,1,3,3,3,3,3,3,1,0
8216,0,2,0,2,3,2,2,2,1,1,4,2,1,0
8227,0,4,1,4,4,1,4,4,5,5,4,4,0,1
8228,1,3,0,5,4,0,1,1,4,3,1,4,0,1
8229,0,1,0,4,1,0,1,1,4,4,1,2,0,1
8239,1,4,0,4,5,1,5,5,5,5,5,4,0,1
8252,0,2,0,3,4,0,4,4,4,4,4,4,1,0
8253,1,5,0,1,5,1,1,1,2,1,1,0,1,0
8260,1,4,0,4,1,1,5,4,2,2,4,3,1,0
8267,0,3,1,3,1,0,5,1,4,4,1,2,1,0
8281,0,3,0,4,3,1,3,3,3,3,2,4,0,1
8296,0,4,0,4,2,0,4,4,4,4,3,3,0,1
8301,1,4,0,3,1,1,4,4,3,3,2,1,1,0
8304,0,4,0,4,2,0,3,3,4,4,1,1,0,1
8309,0,3,0,4,1,0,3,3,3,2,3,3,0,1
8334,1,4,0,5,5,1,5,4,5,5,5,5,0,1
8337,0,4,0,4,2,2,2,2,4,4,3,1,1,0
8351,0,2,0,1,3,1,2,2,5,4,2,2,1,0
8365,0,4,0,4,3,0,4,4,3,2,4,4,0,1
8377,1,4,0,4,1,1,5,3,2,2,5,3,1,0
8389,1,4,0,4,1,2,5,5,4,2,5,4,0,1
8401,0,4,0,3,4,0,4,4,3,2,4,4,0,1
8406,0,4,0,2,4,0,4,4,3,4,4,4,0,1
8416,0,2,0,4,1,0,2,2,3,2,2,2,0,1
8423,0,4,1,4,5,1,4,4,2,2,4,5,0,1
8427,1,4,0,4,4,1,5,4,5,5,4,5,1,0
8454,0,4,1,4,3,1,4,4,1,1,3,4,1,0
8456,0,4,0,3,3,0,4,4,3,4,4,4,0,1
8458,1,3,0,4,1,0,4,4,5,4,4,4,0,1
8474,0,4,0,4,3,0,3,4,4,4,3,3,0,1
8489,0,3,0,3,3,1,4,3,3,3,3,2,1,0
8492,0,1,0,4,4,0,3,1,3,4,3,3,0,1
8493,0,4,1,4,1,1,3,3,3,3,3,1,1,0
8506,0,4,0,4,1,1,4,4,4,1,4,4,0,1
8514,0,3,0,4,1,0,3,3,3,4,3,3,0,1
8518,0,4,0,2,4,1,4,4,3,5,4,4,1,0
8529,0,3,0,2,4,0,3,1,2,2,5,4,1,0
8535,0,1,0,4,3,0,1,1,4,4,1,2,0,1
8541,0,1,0,3,5,0,3,3,2,5,3,4,1,0
8557,0,3,0,1,1,0,4,4,2,5,4,4,1,0
8559,0,4,0,2,5,1,4,4,4,1,4,4,1,0
8569,0,4,0,4,4,0,4,4,4,2,4,3,0,1
8580,1,4,0,4,2,1,3,4,4,4,1,3,1,0
8586,0,3,0,3,3,0,4,1,3,3,3,5,1,0
8593,0,1,0,4,4,0,3,1,4,2,3,3,0,1
8607,0,4,0,4,1,1,4,4,4,4,2,2,1,0
8624,1,4,0,4,3,0,3,3,5,5,3,4,0,1
8626,1,0,0,0,3,1,3,4,4,4,3,1,1,0
8633,0,4,1,3,4,0,5,4,5,5,3,5,1,0
8653,0,3,0,4,4,0,3,3,3,1,3,3,0,1
8664,0,4,1,4,3,0,5,5,5,5,3,5,0,1
8665,0,1,0,4,4,0,1,1,3,3,1,1,0,1
8691,0,2,0,1,3,0,4,4,2,4,4,4,1,0
8693,0,2,0,3,2,0,4,4,4,4,4,4,1,0
8709,0,4,0,4,2,0,4,4,4,4,4,3,0,1
8725,1,4,0,5,3,1,1,1,4,4,1,4,1,0
8762,1,3,0,5,4,1,5,5,3,5,5,4,0,1
8765,0,4,1,4,4,1,4,5,1,1,3,5,1,0
8771,0,3,0,4,4,0,3,3,4,3,3,3,0,1
8783,1,3,0,5,5,0,5,5,5,4,5,3,0,1
8802,0,3,0,4,1,0,3,3,4,3,3,3,0,1
8819,0,2,0,4,1,0,2,2,4,2,2,2,0,1
8829,0,4,1,3,5,1,5,5,2,2,4,5,1,0
8837,0,3,0,3,5,2,5,2,3,3,1,2,1,0
8840,0,2,0,2,4,1,5,5,2,2,1,5,1,0
8848,0,2,0,1,4,0,4,4,2,3,4,4,1,0
8876,0,2,0,2,3,1,2,5,2,2,2,4,1,0
8886,0,3,0,4,2,0,3,3,3,3,3,3,0,1
8890,1,4,0,4,4,1,4,4,4,4,1,1,1,0
8912,0,4,0,4,4,1,1,2,4,4,1,5,0,1
8920,0,3,0,4,4,0,3,3,3,2,3,3,0,1
8926,0,4,1,3,3,0,4,4,5,4,3,5,1,0
8952,0,4,0,4,2,0,4,4,3,2,4,4,0,1
8955,0,4,1,4,3,0,4,4,5,5,5,3,0,1
8965,0,4,0,4,4,0,3,3,4,4,3,4,0,1
8966,0,2,0,3,2,0,4,4,3,5,4,4,1,0
8980,0,4,1,4,1,1,3,4,4,2,4,2,1,0
