,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_K-Nearest Neighbor
3,0,0,0,4,3,0,1,1,4,4,1,1,1,0
4,0,2,0,1,4,1,2,2,2,4,2,2,1,0
17,1,5,0,5,4,2,5,5,4,4,3,5,1,0
23,0,4,0,4,1,0,5,3,4,4,1,5,1,0
31,0,2,0,2,2,1,2,2,5,2,2,2,1,0
41,0,4,1,4,1,1,5,3,2,2,4,2,1,0
51,0,4,1,4,3,0,5,5,2,2,5,3,1,0
97,0,3,0,4,3,0,4,4,3,3,4,4,1,0
102,1,4,0,4,4,1,4,4,5,5,2,2,1,0
110,0,4,0,4,4,1,3,2,4,4,2,5,0,1
120,0,0,0,0,5,2,5,4,1,1,3,1,1,0
133,0,4,1,4,3,0,4,5,2,2,3,5,0,1
149,1,4,0,4,2,1,4,4,1,1,1,5,1,0
153,0,4,1,4,2,1,2,2,2,2,1,5,1,0
161,1,4,0,3,2,1,3,1,3,2,3,4,1,0
188,0,0,0,0,4,2,5,3,2,2,4,1,1,0
203,1,0,0,5,4,1,4,4,5,4,4,0,1,0
209,0,4,1,4,3,0,5,4,5,5,5,3,1,0
231,1,4,0,4,4,1,4,4,1,1,5,4,1,0
247,1,4,0,0,5,1,5,4,2,2,3,4,1,0
254,0,3,0,4,4,0,3,3,4,3,3,2,1,0
278,0,2,0,2,3,1,3,2,2,2,3,5,1,0
283,0,4,0,4,4,1,3,4,4,4,2,1,1,0
289,1,5,0,5,4,1,4,4,5,5,4,4,1,0
298,0,4,0,4,4,1,3,4,4,4,3,4,0,1
307,1,4,0,4,3,1,4,4,5,5,2,5,1,0
310,0,3,0,4,1,0,3,2,3,4,2,3,1,0
328,0,4,0,5,4,1,3,3,5,3,3,4,1,0
365,0,4,1,4,3,0,5,5,5,5,4,3,0,1
374,1,4,0,3,3,1,3,3,1,1,4,1,1,0
380,0,3,0,2,4,0,1,3,2,2,1,1,1,0
398,0,4,0,4,3,1,4,4,4,4,1,2,1,0
406,1,4,0,4,3,1,5,4,5,5,4,5,0,1
426,1,4,0,4,4,1,4,5,4,3,3,4,1,0
447,0,3,0,3,4,2,3,3,3,3,5,1,1,0
474,1,0,0,0,4,1,4,4,4,4,1,4,1,0
493,0,4,1,3,3,0,1,5,1,1,2,5,1,0
512,0,3,0,4,2,1,3,1,3,3,1,2,1,0
526,0,4,0,1,2,0,4,4,2,2,4,4,1,0
535,0,4,0,4,1,2,4,4,4,4,2,2,1,0
540,1,4,0,2,1,1,3,3,2,2,1,5,1,0
560,1,5,0,5,5,1,5,5,2,2,4,2,1,0
598,1,4,0,4,3,2,3,3,4,4,1,3,1,0
611,1,4,0,4,3,1,4,3,3,3,3,3,0,1
618,1,0,0,2,4,1,3,3,1,3,3,0,1,0
640,0,4,1,4,3,0,5,5,5,5,4,2,0,1
664,0,3,0,3,3,1,1,4,3,3,1,4,1,0
698,1,0,0,4,3,1,1,1,3,1,1,0,1,0
713,1,0,0,0,2,1,4,4,2,2,4,2,1,0
737,0,5,1,5,2,2,2,2,1,1,1,3,1,0
742,0,4,0,3,3,1,4,4,3,3,4,4,1,0
746,0,5,1,5,2,1,4,2,3,4,4,5,1,0
761,1,5,0,3,2,1,2,2,4,3,2,5,1,0
817,0,0,1,0,1,1,3,5,4,4,2,3,1,0
820,0,0,1,1,5,0,4,4,4,4,3,2,1,0
827,0,4,0,4,3,1,3,3,4,4,1,5,1,0
836,0,4,1,4,4,0,5,5,2,2,4,5,0,1
854,1,4,0,5,3,1,5,2,4,5,5,4,1,0
859,0,4,0,4,4,0,4,4,4,4,4,4,0,1
871,0,4,0,4,3,1,3,3,4,4,1,3,1,0
875,0,4,1,4,3,0,5,5,2,2,5,3,1,0
877,0,4,0,5,2,1,4,3,4,4,3,5,1,0
915,1,4,0,4,3,1,4,4,5,5,5,3,1,0
926,0,2,0,2,3,1,4,5,2,2,4,4,1,0
981,1,5,0,4,3,2,2,2,4,1,2,5,1,0
1031,1,4,0,4,3,1,5,4,5,5,2,1,1,0
1049,0,4,1,4,5,0,4,5,2,2,4,2,1,0
1064,0,4,1,4,3,0,4,3,2,2,5,4,1,0
1099,1,4,0,5,4,1,4,4,3,3,1,1,1,0
1155,0,4,0,4,3,0,4,4,3,2,4,4,1,0
1157,0,4,1,4,5,1,4,5,4,4,3,4,0,1
1158,1,4,0,4,5,1,4,4,2,2,3,4,1,0
1176,1,4,0,4,1,1,2,4,2,5,5,4,1,0
1177,0,0,1,0,1,0,1,3,1,1,1,3,1,0
1198,0,4,1,4,3,0,5,5,2,2,4,3,0,1
1243,0,4,1,4,1,1,4,5,5,5,5,5,0,1
1245,0,3,0,3,3,0,4,4,3,1,4,4,1,0
1267,0,4,0,4,4,1,4,3,4,4,4,3,0,1
1274,1,4,0,4,5,1,5,5,2,2,4,4,1,0
1276,0,4,0,4,2,2,4,2,3,4,1,1,1,0
1291,0,4,0,4,4,0,4,4,4,3,4,4,0,1
1306,0,0,1,0,1,1,5,1,2,2,1,5,1,0
1344,0,4,1,4,5,1,4,4,5,2,4,4,1,0
1367,0,2,0,2,3,0,1,5,2,2,4,1,1,0
1377,1,5,0,5,4,2,4,4,4,3,4,5,1,0
1395,1,4,0,4,3,1,5,4,5,5,4,5,0,1
1430,0,5,0,3,2,0,4,4,3,1,4,4,1,0
1443,0,4,0,4,1,0,4,4,4,2,4,4,1,0
1445,1,4,0,4,4,1,5,5,5,5,5,5,0,1
1453,1,4,0,4,4,1,5,4,3,3,4,5,0,1
1466,0,4,1,5,5,0,4,4,5,5,3,4,1,0
1470,0,3,1,3,3,0,4,4,4,4,5,3,1,0
1519,1,0,0,0,3,1,5,1,3,3,3,3,1,0
1534,0,4,0,4,1,1,5,3,4,4,3,1,1,0
1558,0,5,0,3,3,0,5,5,2,4,5,4,0,1
1560,0,4,1,4,5,1,4,3,4,4,5,4,1,0
1575,0,4,1,4,3,0,4,5,5,5,3,3,0,1
1580,0,2,0,2,3,1,3,2,2,2,1,4,1,0
1605,1,5,0,4,5,1,3,3,4,5,3,0,1,0
1617,0,3,0,3,1,0,4,4,4,2,4,4,1,0
1621,1,4,0,4,4,1,4,5,1,1,5,2,0,1
1622,0,4,0,4,2,1,1,1,4,4,1,1,0,1
1636,0,4,0,4,3,1,4,3,4,4,1,3,1,0
1660,0,0,1,0,2,1,1,5,3,3,4,1,1,0
1666,0,4,0,1,2,1,3,3,1,1,3,4,0,1
1683,0,4,0,5,2,0,4,4,1,1,4,4,0,1
1690,0,4,1,4,4,1,3,2,4,4,5,5,0,1
1698,0,5,1,5,1,2,1,4,4,4,1,1,1,0
1706,1,4,0,4,1,1,4,4,4,3,2,3,0,1
1709,1,4,0,4,5,1,4,5,1,1,5,5,1,0
1713,0,4,0,4,4,0,1,2,4,4,2,4,0,1
1742,1,0,0,0,2,1,4,4,1,1,4,4,1,0
1804,0,4,1,4,5,0,5,4,5,5,4,3,0,1
1805,0,3,0,3,2,1,3,3,3,3,5,4,1,0
1809,0,4,1,4,4,0,4,4,4,4,4,2,0,1
1813,0,4,0,4,2,0,1,1,4,4,3,5,0,1
1814,0,5,1,5,1,1,5,3,4,2,4,5,1,0
1819,1,4,0,4,5,1,5,5,4,4,4,5,0,1
1829,1,0,0,0,2,1,4,4,5,5,3,1,1,0
1837,0,4,1,4,4,1,1,5,5,5,4,2,0,1
1867,1,4,0,4,3,1,4,3,2,2,4,3,1,0
1886,1,0,0,0,3,1,2,2,1,1,3,3,1,0
1910,0,4,1,1,1,1,4,3,1,1,5,3,1,0
1916,1,4,0,4,1,1,4,4,5,4,1,2,0,1
1917,1,4,0,5,3,0,5,5,4,3,5,4,1,0
1922,1,4,0,4,3,1,5,4,1,1,4,2,0,1
1942,0,4,0,5,3,0,3,3,2,4,3,2,1,0
1944,0,0,0,3,2,1,4,2,1,1,5,4,1,0
1955,1,4,0,4,3,1,3,3,4,4,1,5,0,1
1987,0,1,0,3,1,0,3,4,1,4,2,3,0,1
1993,0,4,1,4,3,0,4,4,3,3,3,4,0,1
1998,1,4,0,4,1,1,3,2,2,2,3,2,1,0
2024,0,4,1,4,2,1,2,3,3,3,3,4,1,0
2033,1,4,0,4,5,1,4,5,2,2,5,2,1,0
2042,0,1,1,0,4,0,5,4,3,3,5,5,0,1
2062,0,4,1,4,3,0,5,5,3,4,4,5,0,1
2072,1,4,0,4,1,1,2,4,3,3,3,2,1,0
2077,0,5,1,5,3,1,2,4,2,2,1,1,1,0
2090,0,3,0,2,5,0,3,3,2,3,3,3,1,0
2094,0,4,0,4,4,1,1,2,4,4,4,2,0,1
2129,0,3,1,3,5,0,4,5,2,2,3,4,1,0
2137,1,4,0,4,5,1,5,4,3,3,5,4,1,0
2138,1,0,0,2,2,1,4,3,2,2,4,3,1,0
2151,0,4,1,4,1,1,2,2,4,4,5,1,1,0
2190,1,4,0,4,3,1,4,4,3,3,5,4,1,0
2196,0,2,0,5,1,0,2,2,2,4,2,2,1,0
2198,0,5,1,5,1,1,2,3,3,3,3,4,1,0
2201,0,4,1,3,3,0,3,3,2,1,3,4,1,0
2205,0,5,0,4,4,0,3,2,5,5,3,1,0,1
2209,1,4,0,5,3,1,2,3,5,3,2,4,1,0
2231,0,4,1,4,4,0,4,4,4,3,3,4,0,1
2253,0,4,0,4,1,1,2,2,4,4,2,5,0,1
2254,1,5,0,5,1,2,4,3,1,1,3,4,1,0
2259,1,4,0,4,2,1,4,4,5,3,1,4,1,0
2275,0,4,0,4,3,0,4,4,4,4,3,3,0,1
2309,0,4,1,4,4,0,5,5,4,4,3,3,0,1
2319,1,4,0,0,3,2,5,4,5,3,5,4,1,0
2334,1,0,0,0,2,2,4,3,3,3,2,1,1,0
2374,0,2,0,4,3,0,2,2,4,3,2,2,0,1
2390,1,0,0,4,4,0,2,2,5,5,2,0,1,0
2412,0,4,0,4,3,2,4,3,4,4,5,3,1,0
2419,0,4,1,2,2,1,5,3,2,2,1,4,1,0
2422,1,4,0,4,4,1,4,4,4,4,3,3,1,0
2462,1,4,0,4,3,1,5,4,1,3,3,2,1,0
2471,0,3,0,3,1,0,1,1,5,3,1,2,1,0
2494,0,2,0,4,3,0,2,2,4,4,1,2,1,0
2499,0,4,1,4,4,0,5,5,5,5,4,3,1,0
2506,1,4,0,4,5,1,4,4,3,3,5,2,1,0
2531,0,4,0,3,2,0,4,4,3,1,4,4,1,0
2533,0,4,0,3,4,0,3,1,3,3,4,2,1,0
2536,0,4,0,4,4,2,4,4,4,2,4,4,0,1
2554,1,4,0,4,2,1,4,3,4,4,4,4,0,1
2566,0,0,0,2,3,0,4,5,2,2,1,1,1,0
2583,1,5,0,5,1,2,4,3,4,4,1,3,1,0
2619,1,4,0,4,2,1,3,1,5,5,1,4,0,1
2622,0,0,0,5,1,0,4,1,1,2,4,4,1,0
2644,0,3,0,3,2,1,4,4,3,3,5,4,1,0
2665,0,0,0,1,1,0,3,3,1,1,1,2,1,0
2686,0,4,1,4,5,0,5,5,1,1,3,4,0,1
2701,0,4,0,3,4,1,4,4,2,2,4,4,0,1
2706,1,4,0,4,4,2,4,4,3,3,4,3,1,0
2719,0,5,0,4,3,0,3,4,5,5,4,4,0,1
2722,1,5,0,4,4,1,5,5,2,2,5,5,1,0
2729,0,4,1,4,2,1,2,1,5,5,4,4,1,0
2733,1,4,0,4,1,1,3,2,2,2,2,1,1,0
2759,0,3,0,4,4,0,3,3,4,3,3,3,1,0
2773,0,4,1,4,3,0,5,5,5,5,3,3,0,1
2783,0,0,0,0,1,1,3,2,1,1,3,1,1,0
2811,0,2,0,3,3,1,1,5,2,2,1,4,1,0
2817,1,4,0,4,5,1,5,4,3,3,3,3,1,0
2823,1,4,0,4,3,1,3,3,4,4,1,1,1,0
2858,0,4,1,4,5,1,4,4,1,1,5,2,1,0
2876,1,4,0,4,4,1,5,5,4,4,4,5,1,0
2884,0,4,0,4,3,2,3,3,4,4,3,2,0,1
2886,0,4,0,4,4,0,4,4,3,3,4,5,1,0
2890,0,4,0,3,4,1,4,4,4,1,4,4,0,1
2916,1,4,0,4,3,1,5,5,1,1,4,5,1,0
2926,0,2,0,2,2,1,5,4,2,2,5,3,1,0
2965,0,4,1,4,5,0,4,5,5,3,5,2,0,1
3005,0,4,1,4,1,1,3,1,1,3,5,2,1,0
3012,0,4,0,4,2,0,4,4,3,2,4,4,1,0
3033,0,4,1,3,3,0,4,5,3,4,5,4,1,0
3041,1,4,0,4,3,1,4,4,4,1,5,2,1,0
3049,0,3,0,4,4,0,2,2,4,1,2,2,1,0
3056,0,1,0,2,1,0,4,4,1,1,4,4,0,1
3097,0,4,0,3,3,0,3,3,1,3,3,3,1,0
3099,0,4,1,4,5,0,5,4,3,3,5,4,0,1
3124,1,0,0,2,3,2,2,2,4,2,2,0,1,0
3136,1,4,0,4,1,1,2,4,3,3,5,2,1,0
3138,0,3,0,3,4,0,2,2,3,3,2,2,1,0
3142,0,3,0,3,3,2,1,2,3,3,4,3,1,0
3144,0,4,0,4,4,1,3,2,4,4,2,1,1,0
3157,0,2,0,2,1,1,3,3,2,2,4,4,1,0
3165,0,3,0,4,2,0,4,3,3,1,4,5,1,0
3180,1,4,0,3,3,1,5,5,3,3,4,5,0,1
3233,0,4,1,3,4,0,4,4,5,5,5,5,0,1
3288,0,5,0,4,4,0,3,3,4,4,1,4,1,0
3289,0,2,0,4,3,0,2,2,4,3,2,2,0,1
3302,0,4,1,4,4,1,4,3,1,2,1,3,1,0
3322,1,4,0,4,4,1,3,3,5,5,2,3,1,0
3329,1,4,0,4,3,1,4,4,2,4,4,4,0,1
3333,1,4,0,3,3,2,4,4,4,3,4,4,1,0
3337,1,4,0,4,5,1,4,4,4,2,5,5,1,0
3342,0,4,0,2,1,0,4,4,3,2,4,4,0,1
3354,1,4,0,4,5,1,5,4,3,1,5,4,1,0
3369,1,4,0,4,2,1,4,3,3,3,4,2,1,0
3375,1,4,0,4,3,1,5,5,4,1,5,4,1,0
3383,0,4,1,4,5,0,5,5,4,5,4,3,1,0
3395,0,2,0,2,4,2,4,1,3,3,1,5,1,0
3418,0,5,0,4,2,1,4,3,5,5,4,1,0,1
3434,0,0,1,0,2,1,5,4,3,3,1,4,1,0
3441,0,4,1,4,1,0,1,2,3,3,4,1,1,0
3465,0,0,1,0,1,1,3,5,2,2,2,1,1,0
3471,1,4,0,0,4,1,4,4,3,3,3,5,1,0
3490,0,4,0,4,4,1,3,3,4,4,4,2,1,0
3498,0,4,0,4,4,1,1,3,4,4,3,4,0,1
3521,0,4,0,4,4,1,4,3,4,4,3,3,0,1
3543,0,4,1,3,5,1,4,4,2,2,4,5,1,0
3592,1,4,0,4,5,1,5,5,5,5,4,4,1,0
3652,0,2,0,3,1,0,1,3,3,3,1,1,1,0
3654,0,4,0,4,3,0,4,4,3,4,4,4,1,0
3674,0,0,1,0,3,1,4,2,2,2,5,4,1,0
3676,1,4,0,5,5,1,2,2,4,4,2,5,0,1
3680,1,5,0,5,4,1,1,5,4,4,4,5,1,0
3699,1,0,0,0,3,1,1,1,4,4,4,4,1,0
3722,0,2,0,2,2,1,3,4,2,2,4,1,1,0
3727,0,2,0,1,5,0,2,2,2,5,2,2,1,0
3741,1,4,0,4,3,1,5,5,2,2,4,4,1,0
3767,1,5,0,4,4,1,3,5,4,4,2,5,1,0
3780,0,4,1,4,1,0,5,4,4,4,1,5,1,0
3800,0,4,1,4,2,1,2,4,1,1,1,4,1,0
3819,0,4,0,4,3,2,4,4,3,1,4,4,1,0
3872,0,4,0,3,1,1,5,5,2,3,5,4,1,0
3889,0,4,0,1,4,0,3,3,4,1,2,2,0,1
3918,0,2,1,2,5,0,5,5,4,4,3,2,1,0
3934,0,4,1,4,1,1,5,5,2,5,5,2,0,1
3941,0,5,0,3,4,0,4,4,3,4,4,4,1,0
3944,0,3,0,4,2,1,4,4,3,3,2,1,1,0
3951,0,4,0,4,4,1,4,4,4,4,5,3,0,1
3967,0,4,0,2,3,1,4,4,2,1,4,4,0,1
3978,0,3,0,3,4,1,3,2,3,3,4,2,1,0
3981,1,5,0,5,5,1,2,3,1,1,5,5,1,0
3982,1,4,0,4,2,1,3,4,3,3,4,4,1,0
3992,0,4,1,4,3,1,4,4,2,2,4,5,1,0
3996,0,4,1,4,4,0,5,5,3,3,5,4,0,1
4040,1,5,0,5,5,2,4,4,4,4,5,4,1,0
4047,0,0,0,1,3,0,4,5,1,1,3,5,1,0
4049,0,4,1,4,5,0,5,5,5,5,3,2,1,0
4052,0,2,0,2,5,0,4,3,2,2,5,2,1,0
4066,0,2,0,1,2,0,2,2,2,3,2,2,1,0
4076,1,4,0,5,5,1,2,2,4,5,2,4,1,0
4131,1,4,0,4,5,0,5,4,4,4,5,5,1,0
4153,0,3,0,3,3,0,3,1,3,3,5,1,1,0
4184,1,4,0,4,3,1,4,3,4,4,3,1,1,0
4234,0,4,0,4,4,0,3,4,4,4,2,5,0,1
4252,0,4,0,4,4,1,3,3,2,4,4,4,0,1
4285,1,5,0,4,4,0,1,1,5,1,1,5,1,0
4289,1,0,0,0,5,1,4,4,4,4,3,4,1,0
4302,0,1,0,4,1,0,3,3,2,2,3,2,1,0
4313,0,4,1,3,4,0,4,5,5,5,5,4,1,0
4326,1,4,0,5,5,1,3,3,5,5,5,2,0,1
4337,0,3,0,3,2,2,2,4,3,3,2,3,1,0
4375,1,4,0,2,4,1,5,2,3,3,3,1,1,0
4417,0,2,0,2,4,1,4,4,1,1,5,1,1,0
4435,0,3,0,3,4,1,4,4,3,3,3,2,1,0
4516,0,4,0,3,3,1,4,4,4,3,4,4,0,1
4530,0,4,1,4,2,1,5,5,5,5,5,4,0,1
4546,0,4,1,4,5,0,5,5,5,5,5,2,0,1
4567,0,4,0,4,4,1,4,4,2,2,4,4,1,0
4574,0,4,1,4,4,0,4,4,2,2,5,4,1,0
4585,0,2,0,2,4,1,5,3,2,2,3,2,1,0
4594,1,4,0,4,3,2,4,4,3,3,4,4,1,0
4600,0,4,1,4,3,1,2,3,2,2,1,5,1,0
4613,0,0,0,5,1,1,2,2,1,2,2,2,1,0
4620,1,4,0,4,5,1,4,5,3,3,1,4,1,0
4633,0,2,0,5,4,0,2,2,4,3,2,2,1,0
4642,1,0,0,0,4,1,5,5,4,4,4,2,1,0
4666,0,4,1,5,3,1,3,3,1,1,1,3,1,0
4675,0,0,1,0,5,1,2,2,1,1,3,4,1,0
4685,0,4,1,4,3,1,4,5,2,2,4,5,1,0
4711,0,2,0,2,2,2,4,1,2,2,4,4,1,0
4804,1,4,0,0,3,2,4,4,2,1,2,1,1,0
4812,0,4,1,4,4,0,5,5,1,1,3,5,0,1
4823,0,0,1,0,4,0,1,2,1,1,3,1,1,0
4827,0,0,1,0,4,1,2,2,5,5,5,3,1,0
4919,1,4,0,4,3,1,5,4,2,2,3,2,1,0
4933,0,4,1,4,4,1,2,5,2,2,3,4,0,1
4937,0,2,0,3,3,0,3,3,4,3,3,3,1,0
4969,0,4,1,2,2,1,3,5,2,2,3,4,0,1
4976,1,4,0,3,2,1,2,2,3,1,2,4,1,0
4979,0,4,0,4,4,1,4,3,4,4,1,5,0,1
4989,0,4,0,4,1,0,2,1,4,4,2,3,0,1
4996,0,4,1,4,1,1,1,4,5,5,3,4,1,0
5000,0,4,0,1,1,0,5,4,2,1,5,4,1,0
5001,0,5,1,5,2,1,1,1,3,3,1,3,1,0
5006,0,0,1,0,3,1,5,2,3,4,5,3,1,0
5013,0,3,0,3,3,2,2,2,3,3,2,3,1,0
5026,0,5,0,3,4,0,5,5,3,3,5,4,1,0
5042,0,4,1,4,3,1,4,3,1,1,3,4,1,0
5084,1,4,0,4,2,1,4,4,1,1,3,2,0,1
5093,0,0,0,1,5,0,1,1,2,5,1,1,1,0
5101,0,4,1,4,3,0,5,4,1,1,4,3,0,1
5103,0,4,1,2,2,0,5,4,2,2,3,3,0,1
5149,0,4,0,4,3,1,2,2,4,4,4,1,0,1
5159,0,4,0,4,3,1,3,3,1,4,3,4,0,1
5194,0,4,1,4,4,1,5,5,4,4,4,5,1,0
5223,0,4,0,4,2,0,3,3,3,1,3,4,1,0
5228,0,4,1,4,2,1,1,4,5,5,1,2,1,0
5229,0,3,0,2,2,0,4,4,2,2,2,4,1,0
5242,1,4,0,4,5,1,5,5,3,3,5,5,1,0
5247,0,4,0,4,1,1,4,5,4,4,3,1,1,0
5254,1,4,0,4,4,2,4,3,1,1,4,5,0,1
5277,0,4,0,5,1,0,4,4,3,4,4,5,1,0
5282,0,2,0,2,5,1,4,4,2,2,5,4,1,0
5288,1,4,0,5,5,1,2,4,1,2,1,1,0,1
5292,0,0,1,1,4,1,4,4,5,5,3,4,1,0
5298,1,4,0,4,4,1,4,5,5,5,4,5,1,0
5306,1,5,0,0,3,2,3,3,1,1,4,5,1,0
5318,1,5,0,0,3,1,2,2,1,1,1,3,1,0
5343,0,4,0,3,1,0,2,2,4,4,4,3,0,1
5362,0,3,0,3,3,1,4,3,3,3,1,1,1,0
5378,0,4,1,4,3,1,1,4,4,4,4,2,1,0
5412,1,4,0,3,3,0,1,1,3,3,1,5,0,1
5415,0,4,0,4,2,1,4,4,3,2,4,4,0,1
5439,0,2,0,2,4,1,1,2,2,2,2,5,1,0
5502,0,4,1,4,3,1,2,1,5,5,1,5,1,0
5532,0,3,0,3,5,1,4,2,3,3,2,5,1,0
5540,0,4,0,4,4,1,4,1,4,4,5,1,0,1
5541,0,5,0,3,1,0,5,3,3,3,1,3,1,0
5549,0,0,1,0,5,0,4,5,1,1,4,5,1,0
5553,0,5,1,5,1,2,4,3,3,3,3,4,1,0
5577,0,4,0,4,4,0,4,3,3,3,5,4,1,0
5578,1,4,0,4,5,1,4,4,2,2,4,4,1,0
5616,0,1,0,4,2,0,3,4,1,4,3,4,0,1
5622,0,5,1,5,4,1,5,4,1,1,4,5,1,0
5644,0,4,1,4,4,2,3,3,2,2,1,1,1,0
5657,1,0,0,0,5,1,5,4,2,2,5,3,1,0
5671,0,4,1,4,2,1,3,2,4,4,2,1,1,0
5695,0,4,0,4,3,0,4,4,4,4,4,4,0,1
5721,1,0,0,0,5,1,5,4,2,2,4,2,1,0
5747,1,0,0,0,3,1,5,4,4,4,5,2,1,0
5796,0,4,1,4,1,1,4,1,4,4,5,3,1,0
5810,0,4,0,5,3,1,3,3,4,4,1,5,1,0
5813,0,4,1,4,3,1,5,1,5,2,3,3,1,0
5832,0,4,1,4,3,1,3,1,1,1,1,4,1,0
5842,1,0,0,0,4,1,4,2,2,2,2,2,1,0
5873,0,4,0,3,1,2,4,4,2,4,4,4,0,1
5888,0,5,1,5,4,1,3,2,5,5,4,2,1,0
5904,0,4,0,4,1,1,4,4,4,2,4,4,0,1
5911,0,1,0,2,2,0,4,4,2,2,4,4,1,0
5939,0,4,0,4,1,1,4,4,3,2,4,4,0,1
5970,0,4,0,3,3,0,4,4,3,3,4,4,1,0
5976,0,4,1,4,2,1,5,5,3,3,5,4,0,1
5981,1,4,0,5,3,1,5,4,4,4,3,3,0,1
5993,0,4,0,3,2,1,3,3,4,4,4,3,0,1
5996,0,4,0,4,2,2,3,4,5,5,2,5,1,0
6021,0,4,1,4,3,1,4,4,4,4,4,3,0,1
6026,0,5,0,4,3,1,4,4,5,5,3,4,0,1
6038,0,4,1,4,4,0,1,3,5,5,4,1,1,0
6066,1,4,0,4,4,1,4,5,1,1,5,3,1,0
6087,1,4,0,4,3,2,3,3,5,3,3,5,0,1
6099,0,1,0,3,3,0,2,2,3,1,2,2,1,0
6106,0,4,1,4,3,1,5,4,2,2,4,5,1,0
6136,0,0,1,0,2,1,5,1,3,3,3,4,1,0
6155,0,4,1,4,4,1,5,4,3,3,4,5,1,0
6165,0,4,1,4,1,1,2,1,1,1,5,5,1,0
6168,1,4,0,4,3,1,3,4,4,3,3,4,0,1
6172,0,4,0,4,3,0,4,4,2,3,4,5,1,0
6188,0,4,1,4,3,0,5,4,1,1,5,4,1,0
6190,0,4,1,4,3,0,5,4,3,1,3,5,0,1
6197,0,4,1,4,3,0,4,4,2,2,5,4,1,0
6244,1,0,0,0,5,1,4,4,5,5,3,3,1,0
6256,0,3,0,3,1,2,3,3,1,5,3,3,1,0
6266,1,4,0,4,3,1,4,4,3,3,3,3,1,0
6302,1,0,0,0,3,1,3,2,3,3,1,1,1,0
6352,0,4,1,1,1,1,5,5,1,1,3,5,1,0
6367,0,4,0,3,3,0,4,4,3,3,4,3,1,0
6375,0,4,1,4,4,0,5,4,1,1,4,5,0,1
6386,0,4,1,4,3,1,4,1,5,5,4,4,1,0
6406,0,4,0,4,4,1,1,3,4,4,5,4,0,1
6422,0,0,0,1,4,0,5,4,1,1,3,2,1,0
6430,1,4,0,4,3,1,4,2,1,1,2,3,1,0
6442,1,4,0,4,5,1,4,5,2,2,4,3,1,0
6478,1,5,0,4,5,2,4,2,5,1,4,0,1,0
6496,1,4,0,4,4,1,2,3,3,3,4,1,0,1
6509,0,4,1,3,5,0,5,5,4,4,3,2,1,0
6512,1,4,0,4,2,1,4,2,4,4,3,5,1,0
6518,0,0,1,0,4,0,5,4,2,2,3,2,1,0
6540,1,4,0,5,4,1,4,4,4,4,4,3,1,0
6546,0,2,1,2,5,0,4,5,1,1,5,4,1,0
6548,1,0,0,0,2,2,2,3,4,4,2,5,1,0
6550,0,4,1,4,1,0,2,1,3,3,5,2,1,0
6571,1,0,0,0,3,1,5,4,3,5,3,5,1,0
6575,0,5,0,1,4,0,5,5,1,3,5,4,0,1
6579,1,4,0,4,4,1,5,4,3,3,3,2,1,0
6584,0,3,0,4,1,0,4,4,3,3,4,5,0,1
6609,0,4,1,4,4,0,4,3,4,4,4,5,0,1
6678,0,4,1,5,5,1,1,2,5,5,4,2,0,1
6701,0,4,1,5,4,0,4,4,3,3,2,2,0,1
6704,0,4,0,4,1,1,4,4,4,4,3,4,1,0
6705,1,4,0,3,1,1,3,3,3,2,3,2,1,0
