,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_K-Nearest Neighbor
6774,0,2,0,2,4,1,4,2,2,2,5,1,1,0
6779,0,4,0,4,3,0,4,4,4,4,4,4,0,1
6796,0,4,0,4,1,0,2,2,4,4,3,5,0,1
6811,0,4,1,4,5,0,4,5,5,5,3,5,0,1
6843,0,4,1,1,1,1,3,4,1,1,4,4,1,0
6864,1,4,0,5,5,1,4,4,4,3,4,4,1,0
6872,0,5,1,5,1,1,3,5,3,3,4,4,1,0
6880,0,4,0,3,2,1,4,4,2,3,4,4,0,1
6885,0,4,0,4,1,2,3,4,4,4,3,4,1,0
6898,0,2,0,2,3,1,4,3,3,3,2,1,1,0
6937,0,4,0,4,3,1,4,4,4,4,3,1,1,0
6948,0,3,0,3,4,1,4,4,1,3,4,3,0,1
6977,0,4,1,4,4,1,5,4,2,2,3,2,1,0
6995,0,3,0,4,5,2,3,3,4,4,3,3,1,0
7005,0,4,0,2,5,0,3,3,1,5,3,3,1,0
7027,1,4,0,4,3,1,4,5,2,2,5,2,1,0
7042,0,4,0,1,4,2,4,4,2,2,4,4,1,0
7049,1,0,0,3,4,0,1,1,3,1,1,0,1,0
7058,1,4,0,4,3,1,4,4,3,3,3,5,0,1
7061,0,0,1,0,5,0,4,5,4,4,5,4,1,0
7072,0,5,1,5,5,1,4,3,2,5,1,5,1,0
7085,1,4,0,4,2,2,4,4,4,3,4,4,1,0
7102,0,5,1,5,1,0,4,5,4,4,2,2,1,0
7115,0,4,1,4,4,1,4,5,1,1,2,1,1,0
7163,1,4,0,4,5,1,4,4,4,4,3,2,1,0
7166,0,4,0,3,5,0,3,2,3,3,3,2,1,0
7171,0,1,0,2,1,0,2,2,2,2,5,3,1,0
7181,0,4,1,4,3,1,4,4,1,1,4,5,1,0
7204,0,4,0,4,3,1,4,4,5,5,3,2,0,1
7224,1,4,0,4,2,1,1,4,3,3,2,1,1,0
7232,0,4,1,4,4,0,4,5,4,2,5,4,0,1
7237,0,2,0,3,1,0,5,5,3,3,1,4,1,0
7244,1,0,0,2,1,1,2,2,3,4,2,0,1,0
7280,0,0,0,0,2,1,3,4,2,2,1,4,1,0
7309,0,4,1,4,2,1,5,1,1,1,3,5,1,0
7318,1,4,0,5,3,1,5,4,5,2,3,3,0,1
7331,1,5,0,0,3,1,5,4,5,5,4,2,1,0
7343,0,3,0,3,4,0,3,4,3,3,2,5,1,0
7346,0,4,1,4,5,0,4,4,1,1,3,3,0,1
7358,0,4,0,4,1,2,3,4,4,4,4,1,0,1
7361,1,5,0,5,1,1,3,2,4,3,2,5,1,0
7375,0,4,1,4,4,0,4,5,5,5,5,2,1,0
7394,0,4,0,4,4,1,4,4,5,2,4,4,1,0
7418,0,4,0,4,1,0,4,4,4,4,4,4,1,0
7436,0,2,0,2,4,1,3,4,2,2,5,5,1,0
7442,1,4,0,4,2,1,5,1,2,2,3,5,1,0
7443,1,4,0,4,1,1,4,3,4,4,3,5,1,0
7447,1,4,0,4,4,1,5,4,3,3,4,5,0,1
7453,0,4,1,4,4,0,4,5,4,4,3,3,0,1
7456,0,4,1,4,5,1,2,4,4,4,3,3,1,0
7482,0,2,0,2,5,1,5,3,2,2,3,4,1,0
7532,0,3,0,3,2,1,3,3,2,3,3,3,1,0
7569,0,5,1,5,4,0,1,4,1,1,2,5,1,0
7596,0,4,1,4,4,0,4,5,5,5,4,2,1,0
7601,0,3,1,3,4,0,4,4,5,5,3,5,1,0
7660,0,5,1,5,3,1,3,3,2,2,2,5,1,0
7679,0,3,0,4,4,0,3,3,4,5,1,3,1,0
7702,0,4,1,4,3,0,5,4,4,2,5,2,1,0
7704,0,4,0,4,5,0,1,1,4,4,1,3,1,0
7710,1,4,0,4,5,1,1,2,3,3,1,3,1,0
7722,0,4,1,4,5,1,5,2,5,5,4,2,0,1
7724,1,5,0,4,4,1,2,2,4,3,2,2,1,0
7727,0,4,1,4,5,0,5,4,1,1,5,4,1,0
7732,0,4,0,4,3,1,4,4,4,4,3,1,1,0
7739,1,4,0,3,5,1,5,4,3,3,3,2,1,0
7750,0,4,1,4,5,0,2,1,5,5,4,2,1,0
7751,1,4,0,4,5,1,5,5,5,5,4,3,0,1
7782,0,4,1,4,3,0,4,4,2,5,5,3,0,1
7789,0,4,0,4,4,1,3,3,4,4,2,3,0,1
7794,1,4,1,4,3,1,4,3,4,4,3,4,1,0
7795,0,4,1,4,3,0,4,5,3,4,5,4,0,1
7800,1,4,0,3,4,1,3,3,3,3,3,5,1,0
7807,1,0,0,1,3,1,5,5,4,1,5,0,1,0
7808,0,4,0,4,4,2,2,2,3,3,1,5,0,1
7809,0,0,1,0,3,0,5,4,5,2,5,5,1,0
7810,0,4,1,4,5,0,4,5,3,3,4,3,0,1
7819,0,4,1,4,3,0,1,1,3,3,4,1,0,1
7820,0,3,0,3,2,1,2,4,3,3,3,1,1,0
7826,0,4,0,4,4,0,2,1,4,4,4,3,0,1
7828,1,4,0,4,3,1,4,5,2,2,4,2,1,0
7837,0,4,1,4,3,0,1,3,2,2,2,5,1,0
7847,0,5,0,4,1,0,3,4,4,4,1,4,1,0
7872,1,4,0,4,5,1,4,5,1,1,4,4,1,0
7951,0,4,1,4,4,0,4,5,1,1,3,4,0,1
7965,1,4,0,5,5,1,4,5,5,5,5,4,0,1
7969,1,4,0,4,3,1,5,4,4,4,5,3,0,1
7988,0,4,1,4,4,1,4,4,2,2,4,3,1,0
7999,0,4,1,4,5,1,3,1,3,3,1,2,1,0
8028,1,5,0,5,4,2,4,5,1,1,3,5,1,0
8063,0,4,0,4,1,2,4,3,4,4,3,2,1,0
8070,1,4,0,4,4,1,5,4,4,4,4,3,1,0
8071,1,4,0,1,4,0,3,3,5,2,2,3,1,0
8085,0,2,0,3,5,2,5,2,2,2,5,5,1,0
8087,0,4,0,5,1,2,3,3,4,4,1,3,1,0
8110,0,4,0,3,2,0,4,4,3,1,4,5,1,0
8124,0,4,0,4,4,0,4,4,4,4,4,4,0,1
8125,0,4,1,4,4,1,4,4,5,5,4,4,0,1
8151,1,4,0,4,4,1,2,2,2,2,2,2,1,0
8154,0,4,1,4,4,1,4,4,1,1,5,3,1,0
8155,0,5,1,5,3,1,4,4,1,1,3,5,1,0
8162,0,4,1,4,5,0,5,4,1,1,3,2,1,0
8177,1,4,0,2,5,1,4,5,1,1,2,3,1,0
8211,0,3,0,4,4,1,3,3,3,3,3,3,1,0
8216,0,2,0,2,3,2,2,2,1,1,4,2,1,0
8227,0,4,1,4,4,1,4,4,5,5,4,4,0,1
8253,1,5,0,1,5,1,1,1,2,1,1,0,1,0
8260,1,4,0,4,1,1,5,4,2,2,4,3,1,0
8267,0,3,1,3,1,0,5,1,4,4,1,2,1,0
8301,1,4,0,3,1,1,4,4,3,3,2,1,1,0
8317,0,4,0,3,1,0,4,4,4,4,4,4,1,0
8326,0,4,0,4,1,1,3,4,4,4,3,4,1,0
8351,0,2,0,1,3,1,2,2,5,4,2,2,1,0
8373,1,4,1,4,3,1,3,3,4,4,4,2,0,1
8377,1,4,0,4,1,1,5,3,2,2,5,3,1,0
8423,0,4,1,4,5,1,4,4,2,2,4,5,0,1
8427,1,4,0,4,4,1,5,4,5,5,4,5,1,0
8438,0,1,0,1,4,0,3,3,4,4,3,2,0,1
8439,1,5,0,5,4,2,4,3,4,4,2,4,1,0
8454,0,4,1,4,3,1,4,4,1,1,3,4,1,0
8489,0,3,0,3,3,1,4,3,3,3,3,2,1,0
8490,0,4,0,4,2,0,4,3,4,4,3,5,1,0
8493,0,4,1,4,1,1,3,3,3,3,3,1,1,0
8506,0,4,0,4,1,1,4,4,4,1,4,4,0,1
8529,0,3,0,2,4,0,3,1,2,2,5,4,1,0
8572,0,4,1,4,3,1,2,1,3,3,4,4,1,0
8575,1,0,0,0,4,1,5,4,5,5,3,5,1,0
8579,1,4,0,4,2,1,3,3,1,1,3,4,0,1
8580,1,4,0,4,2,1,3,4,4,4,1,3,1,0
8586,0,3,0,3,3,0,4,1,3,3,3,5,1,0
8607,0,4,0,4,1,1,4,4,4,4,2,2,1,0
8624,1,4,0,4,3,0,3,3,5,5,3,4,0,1
8636,1,0,0,0,1,1,4,4,5,5,2,5,1,0
8664,0,4,1,4,3,0,5,5,5,5,3,5,0,1
8708,0,4,0,3,3,0,4,4,1,1,4,4,1,0
8725,1,4,0,5,3,1,1,1,4,4,1,4,1,0
8735,0,4,1,4,3,0,5,4,4,4,3,3,0,1
8754,0,4,0,3,3,0,4,4,4,2,4,4,1,0
8775,0,4,0,4,4,1,1,4,4,4,3,4,1,0
8776,0,5,0,3,4,0,4,4,3,4,4,4,1,0
8815,1,4,0,4,4,1,4,4,1,1,5,3,0,1
8829,0,4,1,3,5,1,5,5,2,2,4,5,1,0
8840,0,2,0,2,4,1,5,5,2,2,1,5,1,0
8852,0,0,1,0,2,1,1,2,4,4,3,5,1,0
8890,1,4,0,4,4,1,4,4,4,4,1,1,1,0
8896,1,0,0,0,4,1,4,4,4,4,4,4,1,0
8912,0,4,0,4,4,1,1,2,4,4,1,5,0,1
8913,0,0,0,0,5,1,1,4,1,1,3,4,1,0
8919,0,4,1,4,4,0,5,5,5,5,4,5,1,0
8926,0,4,1,3,3,0,4,4,5,4,3,5,1,0
8955,0,4,1,4,3,0,4,4,5,5,5,3,0,1
8965,0,4,0,4,4,0,3,3,4,4,3,4,0,1
8980,0,4,1,4,1,1,3,4,4,2,4,2,1,0
8984,1,4,0,4,5,1,4,1,1,1,5,2,1,0
8989,0,5,1,0,3,1,5,1,3,3,5,1,1,0
8994,0,2,1,2,3,0,5,4,2,2,5,4,1,0
8997,0,3,1,3,3,0,4,4,3,3,3,4,1,0
9001,0,4,0,4,2,1,3,4,4,4,4,5,1,0
9004,0,0,1,0,1,1,5,3,1,2,5,5,1,0
9006,0,4,1,4,5,0,4,5,2,2,3,4,1,0
9024,1,0,0,5,3,1,2,2,5,4,2,1,1,0
9046,0,4,0,4,2,2,4,4,4,4,1,5,1,0
9050,0,3,1,2,2,0,3,5,2,2,5,5,0,1
9053,0,3,0,3,3,2,3,2,3,3,2,4,1,0
9054,0,3,0,4,3,0,1,2,4,4,1,3,1,0
9055,1,0,0,3,2,1,4,3,3,3,4,0,1,0
9067,1,4,0,4,3,1,2,4,4,4,3,4,0,1
9070,0,0,0,2,4,0,1,1,4,4,1,1,1,0
9084,1,0,0,0,2,1,3,3,1,1,1,5,1,0
9088,0,4,1,4,3,1,4,4,4,4,4,4,0,1
9097,0,3,1,3,4,1,5,4,1,1,4,5,1,0
9100,0,2,1,2,5,0,1,5,1,1,3,4,1,0
9126,0,3,0,4,5,1,1,1,3,3,1,2,1,0
9150,1,4,0,2,5,1,3,3,2,5,3,4,1,0
9151,0,3,0,3,4,1,3,4,3,3,3,5,1,0
9181,0,3,1,3,4,0,4,4,1,2,3,2,1,0
9184,0,2,0,4,3,1,2,2,4,4,2,2,1,0
9228,1,0,0,0,5,1,4,5,2,2,4,4,1,0
9233,0,4,1,4,3,0,4,4,2,2,5,4,1,0
9238,0,3,0,3,1,0,2,2,3,3,2,2,1,0
9244,1,4,0,2,4,1,4,5,4,4,4,4,1,0
9264,0,4,1,4,3,1,2,4,4,4,5,2,1,0
9265,1,4,0,4,5,0,3,3,4,5,3,4,0,1
9266,0,0,1,0,1,1,4,4,5,5,1,2,1,0
9267,0,4,1,4,4,0,2,4,3,3,1,4,1,0
9279,0,4,1,4,4,0,5,5,5,4,5,4,0,1
9316,1,4,0,4,3,1,2,2,4,4,2,1,1,0
9331,0,3,0,3,1,1,1,2,4,4,1,1,0,1
9386,1,4,0,4,5,1,4,5,5,5,5,5,1,0
9390,0,3,1,3,5,0,4,5,5,5,4,3,1,0
9403,1,4,0,4,5,1,4,5,4,4,3,5,0,1
9405,0,3,0,2,1,0,2,2,1,1,2,2,1,0
9407,1,0,0,0,3,1,2,4,1,3,5,3,1,0
9408,0,4,1,4,1,1,3,4,3,3,4,3,1,0
9419,1,4,0,5,4,1,2,2,4,5,2,4,1,0
9424,1,4,0,4,3,2,5,5,5,5,5,5,0,1
9477,0,3,0,2,4,1,3,3,5,1,3,3,1,0
9495,1,5,0,5,3,2,3,3,1,3,1,1,1,0
9524,0,4,1,4,4,0,4,5,1,1,4,2,1,0
9529,0,4,0,4,1,2,2,1,4,4,3,5,0,1
9538,1,4,0,4,3,1,4,4,3,3,3,4,1,0
9571,1,4,0,4,4,1,5,5,4,4,4,3,1,0
9597,1,5,1,5,3,1,4,3,5,1,1,1,1,0
9605,1,0,0,0,2,1,4,3,5,5,4,2,1,0
9621,1,4,0,2,4,1,2,2,4,4,1,3,1,0
9634,1,0,0,0,1,1,3,2,3,3,2,4,1,0
9674,1,4,0,4,2,1,5,4,4,4,2,3,0,1
9685,0,4,0,3,3,1,4,4,2,2,4,4,1,0
9733,0,0,1,0,3,1,5,4,4,4,4,2,1,0
9748,0,1,0,0,4,0,3,4,3,3,4,5,0,1
9763,0,4,0,4,2,1,4,4,5,1,4,4,1,0
9792,1,5,0,4,4,1,5,5,3,3,3,5,1,0
9827,0,4,0,4,2,1,3,4,4,4,2,1,1,0
9833,1,4,0,4,4,1,4,5,4,4,4,5,1,0
9838,0,4,1,4,4,0,5,5,1,1,5,3,1,0
9846,0,4,1,4,5,0,4,5,5,5,4,3,0,1
9849,0,0,1,1,3,1,5,5,2,2,5,4,1,0
9872,0,4,0,2,1,0,4,4,4,1,4,4,1,0
9886,0,3,0,3,5,2,3,2,3,3,4,1,1,0
9912,0,4,1,4,2,1,3,4,2,2,3,4,1,0
9916,1,0,0,0,2,1,5,1,5,5,4,2,1,0
9932,0,2,0,2,1,2,2,2,1,4,2,2,1,0
9947,1,5,0,3,3,1,5,5,3,4,5,5,1,0
9966,0,0,1,2,5,0,5,4,2,2,4,5,1,0
9997,0,1,0,1,3,0,3,4,3,3,5,3,0,1
10030,1,4,0,4,1,1,4,4,4,4,2,4,0,1
10039,1,4,0,4,5,1,5,5,5,5,5,5,0,1
10050,1,4,0,4,1,1,3,3,3,2,5,5,1,0
10091,1,0,0,5,4,0,1,2,4,3,1,0,1,0
10122,0,4,1,4,4,1,5,1,5,5,1,2,1,0
10132,1,5,0,5,5,0,5,4,5,5,5,3,1,0
10160,0,3,1,3,2,1,4,4,5,5,2,4,1,0
10162,1,4,0,4,5,1,4,4,3,3,5,3,0,1
10171,0,3,0,2,2,1,3,3,3,1,3,3,1,0
10185,1,4,0,4,5,1,4,5,3,3,1,2,1,0
10197,1,4,0,5,4,1,5,5,3,3,3,4,1,0
10205,0,4,0,4,3,1,4,4,4,4,4,3,0,1
10212,1,5,0,2,3,1,5,5,3,4,5,0,1,0
10264,0,4,0,4,3,1,4,3,4,4,1,1,1,0
10284,0,4,0,4,3,0,4,4,3,3,4,3,1,0
10303,1,0,0,0,4,1,5,4,4,4,4,3,1,0
10316,0,0,0,0,4,1,4,4,2,2,2,1,1,0
10317,0,4,1,4,4,1,4,4,5,3,5,4,1,0
10322,1,4,0,5,5,1,5,5,4,5,5,4,1,0
10336,0,4,1,4,5,0,4,4,3,3,4,2,1,0
10377,0,5,0,3,3,0,4,4,2,3,4,4,1,0
10388,0,4,0,4,2,0,4,4,4,4,1,3,1,0
10398,0,4,1,4,5,0,5,5,3,3,3,2,0,1
10402,1,5,0,5,5,1,5,5,1,1,3,2,1,0
10415,0,5,0,4,4,0,4,3,4,4,1,4,1,0
10426,1,4,0,4,3,1,3,3,3,2,3,4,1,0
10428,0,3,0,3,3,2,2,1,3,3,1,1,1,0
10438,0,4,1,4,5,0,4,5,4,4,5,3,1,0
10453,1,4,0,4,4,1,1,1,4,4,1,4,1,0
10456,0,0,1,1,1,0,4,5,1,1,3,4,1,0
10545,1,0,0,4,3,1,5,5,1,1,3,2,1,0
10555,1,0,0,0,2,1,2,2,3,3,3,3,1,0
10560,0,2,0,2,3,1,5,4,2,2,2,3,1,0
10590,0,4,1,4,4,1,5,2,3,3,4,5,0,1
10595,1,4,0,2,4,1,4,4,2,4,4,4,1,0
10616,0,4,0,4,4,1,4,4,4,4,3,3,0,1
10629,0,2,0,2,2,0,3,5,2,2,3,5,1,0
10635,0,2,1,2,4,0,5,4,1,1,5,5,1,0
10650,0,3,0,1,5,0,3,3,2,5,3,3,1,0
10662,0,2,0,2,2,2,5,2,2,2,4,3,1,0
10669,1,4,0,4,4,1,4,5,4,4,5,1,1,0
10699,1,4,0,4,2,1,4,4,4,4,4,4,1,0
10709,0,3,0,2,5,1,3,3,1,1,3,3,1,0
10719,1,4,0,4,3,1,5,1,4,3,5,4,1,0
10728,1,0,0,0,4,1,4,5,4,4,5,2,1,0
10756,1,4,0,4,1,2,4,3,4,4,3,4,1,0
10769,1,4,0,5,4,1,5,5,4,4,5,4,0,1
10771,0,5,0,4,1,0,3,4,3,3,3,1,1,0
10797,0,4,0,4,2,1,4,4,3,4,4,4,0,1
10799,0,4,0,3,4,1,4,4,3,3,4,4,1,0
10824,0,4,0,4,4,0,3,3,4,4,3,3,0,1
10826,1,4,0,4,4,1,3,3,5,5,4,2,1,0
10838,0,5,0,1,2,1,4,4,3,1,4,5,1,0
10843,0,0,0,1,2,0,1,1,3,4,1,1,1,0
10854,1,0,0,0,5,1,4,4,4,4,3,4,1,0
10855,1,4,0,1,5,1,2,4,2,1,2,4,1,0
10856,0,4,1,4,5,0,5,4,3,3,5,4,0,1
10858,0,4,0,4,1,1,3,5,4,4,4,1,1,0
10859,1,4,0,4,5,1,5,5,1,1,5,3,1,0
10871,0,3,0,5,2,0,2,2,5,1,2,2,1,0
10888,0,4,1,4,4,0,4,4,4,4,3,4,0,1
10899,1,5,0,5,2,0,4,4,2,2,3,5,1,0
10924,0,3,0,4,4,1,3,5,5,3,5,1,1,0
10975,1,4,0,4,4,1,5,5,2,5,1,2,0,1
10976,0,4,1,4,4,0,5,5,1,4,3,4,1,0
10990,1,4,0,4,3,1,4,5,1,1,3,5,0,1
11027,1,5,0,5,3,2,4,4,5,5,3,4,1,0
11126,0,2,1,2,3,0,4,4,1,1,3,2,1,0
11137,0,4,0,4,4,1,3,3,4,4,1,1,1,0
11143,1,4,0,2,2,1,5,4,2,2,5,4,1,0
11148,1,4,0,4,2,1,3,2,3,3,2,5,1,0
11150,0,5,0,4,4,0,3,3,5,5,3,5,0,1
11159,0,3,0,2,2,1,3,3,4,3,3,3,1,0
11163,0,0,1,0,4,1,3,2,2,4,4,1,1,0
11170,0,4,0,4,1,1,5,4,4,4,1,5,1,0
11202,0,5,1,4,1,1,4,1,3,3,3,5,1,0
11257,1,5,0,4,5,2,1,1,4,2,1,5,1,0
11293,0,3,0,4,4,1,2,3,3,3,4,1,1,0
11304,0,2,0,3,4,0,2,2,2,3,2,2,1,0
11311,1,0,0,4,5,1,5,5,4,4,4,2,1,0
11315,0,3,1,3,5,0,5,4,5,5,4,5,1,0
11320,0,2,0,2,5,1,1,1,2,2,5,3,1,0
11326,0,3,0,1,4,1,3,3,2,3,3,3,1,0
11329,1,4,0,4,5,1,5,5,1,1,3,5,1,0
11356,0,0,0,3,1,1,3,4,2,2,3,4,1,0
11363,1,5,0,3,3,2,3,4,3,3,4,4,1,0
11374,0,4,1,4,3,1,1,1,4,4,4,4,1,0
11390,0,2,0,2,5,2,3,2,2,2,1,2,1,0
11414,0,5,0,4,2,0,3,4,5,5,2,5,0,1
11416,1,4,0,4,3,1,4,5,5,5,5,2,1,0
11434,0,3,0,4,2,0,3,3,2,1,3,4,1,0
11441,1,5,0,5,1,2,3,3,3,4,2,2,1,0
11443,0,3,0,4,3,0,4,4,4,2,4,4,1,0
11445,0,2,0,4,1,0,4,3,3,3,4,4,1,0
11469,0,4,1,4,3,1,2,2,4,4,4,3,1,0
11479,0,3,0,4,1,0,5,3,3,4,4,4,1,0
11487,0,4,0,3,3,0,3,3,4,4,3,3,0,1
11495,0,0,1,0,3,1,1,4,5,5,1,3,1,0
11496,1,4,0,4,1,1,3,4,5,5,1,5,0,1
11555,0,0,1,1,3,1,3,5,5,5,1,3,1,0
11603,0,3,0,4,4,0,1,2,4,4,5,4,1,0
11606,0,4,1,4,5,1,5,3,1,3,5,3,1,0
11616,0,4,0,4,1,1,2,2,3,3,1,3,0,1
11622,0,2,0,3,4,0,2,2,4,3,2,2,1,0
11633,0,4,1,4,4,1,4,5,1,1,3,4,1,0
11639,1,4,0,1,1,1,3,5,1,1,5,4,1,0
11647,0,4,0,4,4,1,2,2,4,4,2,5,1,0
11650,1,4,0,4,1,0,4,3,2,1,1,5,1,0
11658,1,0,0,0,4,1,3,2,4,4,1,2,1,0
11663,0,4,1,4,3,1,3,5,3,3,1,2,1,0
11664,0,0,1,0,5,0,4,5,3,3,5,4,1,0
11665,0,4,1,4,3,2,4,5,1,2,5,5,0,1
11706,1,4,0,5,5,1,5,3,5,4,5,4,1,0
11708,0,4,0,4,2,1,3,3,2,4,4,4,0,1
11731,1,0,0,0,1,1,4,3,3,4,1,2,1,0
11747,1,4,0,4,4,1,5,4,3,3,4,3,1,0
11796,1,5,0,1,1,1,5,5,1,1,2,5,1,0
11816,1,4,0,4,5,1,4,5,1,1,4,2,1,0
11830,0,3,0,3,4,0,1,1,3,3,4,5,0,1
11845,0,4,0,2,2,0,4,4,4,1,4,4,1,0
11888,1,4,0,4,4,1,3,3,2,2,4,4,1,0
11891,0,0,0,0,4,1,3,3,1,1,1,1,1,0
11909,0,3,0,3,5,1,1,3,3,3,5,3,1,0
11915,0,3,0,3,4,0,4,4,3,3,3,4,1,0
11933,1,0,0,4,5,0,5,1,5,3,5,4,1,0
11938,1,4,0,4,3,1,3,3,5,5,1,2,0,1
11956,0,4,1,4,5,0,4,4,3,3,4,3,1,0
11971,0,4,0,2,4,0,4,5,3,2,4,4,1,0
11978,1,4,0,4,5,1,5,4,4,4,5,3,1,0
11981,0,0,0,0,1,2,1,3,2,2,2,2,1,0
11992,0,3,0,3,5,1,4,3,3,3,1,3,1,0
11993,1,0,0,0,5,1,4,5,1,1,3,1,1,0
11999,0,4,1,4,3,1,5,5,5,5,3,5,1,0
12036,0,4,1,4,5,0,4,4,5,5,3,2,0,1
12048,0,4,1,4,3,0,5,4,5,4,5,3,1,0
12068,0,2,0,2,5,1,3,4,3,3,3,5,1,0
12077,1,4,0,4,3,1,5,4,4,4,3,3,0,1
12079,1,4,0,4,4,1,4,4,1,1,4,5,0,1
12095,0,5,0,2,4,2,4,4,3,1,4,5,1,0
12105,0,4,1,4,4,0,5,4,5,5,4,4,0,1
12119,0,0,0,1,1,0,4,2,1,1,5,3,1,0
12139,0,2,0,4,2,0,2,1,4,4,2,2,1,0
12174,1,0,0,0,2,1,2,4,5,5,4,5,1,0
12219,1,4,0,4,3,1,4,4,5,5,5,3,1,0
12253,0,4,1,4,1,1,5,5,3,3,4,2,0,1
12308,0,3,0,3,4,0,1,2,3,3,4,5,0,1
12336,0,4,0,4,2,2,2,2,4,4,1,2,0,1
12371,0,5,0,3,3,0,5,5,2,3,5,4,0,1
12376,0,2,0,2,2,1,3,1,2,2,3,3,1,0
12402,0,4,1,3,5,0,4,4,2,2,4,5,1,0
12406,1,4,0,4,1,1,3,4,1,1,3,1,0,1
12449,0,4,0,2,3,0,4,4,4,3,4,4,1,0
12450,0,3,0,4,3,0,3,3,4,3,3,3,1,0
12472,0,4,1,3,3,0,3,5,3,3,5,5,1,0
12514,1,4,0,3,1,2,4,4,3,4,4,2,1,0
12522,0,4,0,4,4,1,2,2,4,4,1,3,1,0
12554,1,4,0,3,1,1,4,4,5,1,4,4,1,0
12572,0,3,0,3,3,2,2,2,3,3,1,2,1,0
12574,0,3,0,2,4,0,3,1,2,2,1,2,1,0
12575,0,3,0,4,1,0,3,3,3,5,3,3,1,0
12608,1,4,0,4,3,0,4,4,1,4,3,4,1,0
12614,1,4,0,3,5,1,5,4,3,3,4,2,1,0
12619,0,3,0,1,5,0,3,3,1,3,3,3,1,0
12623,0,3,0,3,3,1,5,2,3,3,4,2,1,0
12626,0,3,0,4,3,0,1,4,4,4,2,1,1,0
12628,1,4,0,4,5,1,4,5,1,3,3,3,1,0
12633,0,2,0,3,4,0,2,2,4,3,2,2,1,0
12644,0,5,0,3,4,0,5,5,4,4,5,4,0,1
12651,0,4,0,5,4,1,2,2,4,4,1,3,1,0
12653,1,0,0,0,3,1,4,5,4,4,4,3,1,0
12657,0,3,0,5,3,1,3,3,2,4,3,3,1,0
12660,1,0,0,0,5,1,5,5,2,2,4,2,1,0
12687,1,5,0,4,5,1,4,5,2,2,4,3,1,0
12689,0,4,1,4,4,1,4,5,4,4,5,4,0,1
12704,0,2,0,4,4,0,3,2,4,4,2,2,1,0
12711,0,4,1,3,4,0,4,4,2,2,4,5,1,0
12732,0,2,1,2,3,0,4,4,1,1,4,5,1,0
12736,0,4,1,4,5,0,5,5,3,3,5,5,0,1
12773,1,4,0,4,4,1,1,2,3,3,3,3,1,0
12788,0,4,1,4,1,0,1,1,3,3,1,5,0,1
12823,1,4,0,4,5,1,5,5,2,2,4,5,1,0
12852,0,1,0,4,4,0,4,1,3,4,4,4,0,1
12862,0,3,0,3,2,0,4,4,3,1,4,5,1,0
12863,1,4,0,4,1,0,4,4,4,3,4,4,1,0
12870,0,4,0,4,4,0,4,4,3,2,4,4,0,1
12881,0,2,0,4,3,0,2,2,4,4,2,2,1,0
12886,0,4,1,4,5,1,5,1,4,4,4,4,0,1
12901,0,0,0,1,1,0,2,4,3,3,2,4,1,0
12930,1,0,0,2,4,1,1,1,3,4,1,0,1,0
12938,0,3,0,3,3,1,3,3,4,3,3,3,1,0
12970,0,4,0,4,2,0,3,5,4,4,1,1,1,0
12971,1,4,0,4,4,1,4,4,2,2,2,4,1,0
12974,0,2,0,3,1,0,4,4,2,2,4,4,1,0
12977,1,4,0,5,3,1,3,4,3,3,2,4,0,1
12986,0,3,0,3,5,1,3,3,3,3,2,4,1,0
12987,0,0,0,1,3,0,1,1,2,2,1,1,1,0
